saupNo,saupNm,proStage,maxDigDepth,no
20211743,진주시 봉곡동 486-3번지 외 7필지 신축공사 소규모지하안전영향평가,사업 등록 완료,19.45,3413
20211744,서울특별시 중구 필동1가 3-1외2필지 오피스텔 신축공사,제출완료,25.36,3414
20211745,고양시 삼송지구(동산동379)지식산업센터 신축공사,제출완료,27.41,3415
20211746,인천광역시 중구 운서동 3094-2번지 오피스텔 신축공사,제출완료,28.20,3416
20211747,광명동 주상복합 아파트 신축공사,제출완료,16.03,3417
20211748,천안 불당동 오피스텔 복합시설 신축공사,제출완료,25.65,3418
20211749,북창원 센텀 신축공사 소규모지하안전영향평가,제출완료,13.73,3419
20211750,춘천시 후평동 주거복합 신축공사,제출완료,24.33,3420
20211751,(재협의)남양주시 다산진건지구 상업 1-2BL 오피스텔 개발사업,제출완료,27.71,3421
20211752,오산시 궐동 주상복합 신축공사,제출완료,17.17,3422
20211753,강남구 역삼동 718-1 일월스타빌딩 신축공사,제출완료,19.83,3423
20211754,한화생명 대구사옥 신축공사,제출완료,39.97,3424
20211755,이천 사동지구 아이파크 신축공사,제출완료,21.46,3425
20211756,안강병원 신축공사,제출완료,19.83,3426
20211757,인천시 남동구 간석동 173-7번지 외 2필지 신축공사,제출완료,13.35,3427
20211758,"부산 강서지역 전기공급시설 전력구공사(에코-순아, 신강서-에코)",제출완료,60.28,3428
20211759,유성구 봉명동 541-29번지 일원 오피스텔 신축공사,제출완료,17.87,3429
20211760,(재협의)학동 생활형숙박시설 신축공사,제출완료,19.95,3430
20211761,회현동 165-1 오피스텔 인근 부설주차장 신축공사,제출완료,30.17,3431
20211762,"경기도 오산시 수청동 608-4,5번지 오피스텔 신축공사 소규모 지하안전영향평가 용역",사업 등록 완료,16.50,3432
20211763,군포10 재개발정비사업,제출완료,26.71,3433
20211764,논현동 221-16 역세권 청년주택 신축공사,제출완료,17.50,3434
20211765,용인시 신갈동 69-4외 1필지 오피스텔 신축공사,제출완료,18.36,3435
