evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00009000011,서울 강남구 역삼동 652-2 업무시설 AMC 신축,41300.00,28.06,0.00,20180320,20180518,77000.00,진행중,0,1
E00143000006,고양시 덕양구 도내동955(상업2-2) 오피스텔 신축공사,88000.00,26.39,0.00,20180527,20180622,75000.00,승인완료,26,1
E00143000005,고양시 도내동 951 오피스텔 신축,0.00,25.79,0.00,20180502,20180604,0.00,승인완료,26,1
E00022000012,고양시 원흥지구 상업1-1블럭 오피스텔 신축,0.00,26.70,0.00,20190213,20190508,17600.00,승인완료,27,1
E00038000018,과천 지식정보타운 지식12블럭 일대 펄어비스 사옥 신축,174500.00,28.61,0.00,20180602,20190320,66000.00,승인완료,29,1
E00185000001,"광교지구 업무4-2BL 복합업무시설, IM CENTER",0.00,26.30,0.00,20180710,20181105,82500.00,진행중,0,1
E00055000019,광명시 광명12R구역 주택재개발정비사업,0.00,33.43,0.00,,,0.00,승인완료,33,1
E00190000015,광명시 소하동 1344(소하지구 지식산업센터신축공사),0.00,22.60,0.00,20180810,20181020,99000.00,승인완료,23,1
E00133000004,"서울 강남구 삼성동 65-5,65-10 업무시설 신축",38300.00,27.01,0.00,20180628,20181218,107800.00,승인완료,27,1
E00193000004,서울시 서대문구 신촌동 134 일원 연세대 의료원 미래관 신축,6200.00,47.35,0.00,20190201,20190329,0.00,승인완료,47,1
E00055000015,서울시 서초구 서초동 1497-13번지 대한변리사회관 신축,4000.00,14.81,0.00,20180810,20190318,29700.00,승인완료,15,1
E00001000005,신반포21차아파트 주택재건축정비사업 지하안전영향평가,212016.00,26.83,0.00,20190228,20190807,96800.00,진행중,758060,1
E00080000011,서울시 성동구 도선동 101 외1 복합시설 신축,7500.00,24.16,0.00,20190220,20190416,104500.00,진행중,3155,1
E00063000009,서울시 성동구 도선동 20 외5 복합건축물 신축,130000.00,23.69,0.00,20181102,20181226,110000.00,승인완료,24,1
E00023000027,하남미사지구 중상3-1BL 근린생활시설 신축공사,0.00,22.65,0.00,20180806,20190116,0.00,승인완료,23,1
E00055000012,"하남시 망월동 355-5 일원 미사자족 1-1, 2블럭 지식산업센터",0.00,22.35,0.00,20181010,20190318,165000.00,승인완료,22,1
E00179000003,세종힘찬병원 신축공사,0.00,26.86,0.00,20180423,20180622,88000.00,승인완료,27,1
E00038000015,수도권 광역급행철도 A노선 민간투자사업,0.00,0.00,0.00,20180604,20190829,628100.00,진행중,0,1
